llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
claude-3,mathqa,3,PositiveN,0.5,0.5586,0.5616,0.5606,0.5475,40,16.08,14.0,6.44
all,all,3,PositiveN,0.6000000000000001,0.5429,0.5432,0.5432,0.5517,40,14.4,12.44,7.87
gpt-4,all,3,PositiveN,0.6000000000000001,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,7.07
gpt-3.5,all,3,PositiveN,0.6000000000000001,0.5135,0.5135,0.5125,0.5371,40,15.79,13.76,8.61
claude-3,all,3,PositiveN,0.6000000000000001,0.5495,0.5506,0.5516,0.5439,40,14.26,12.21,7.29
all,gsm,3,PositiveN,0.6000000000000001,0.6442,0.6446,0.6433,0.6437,40,15.5,12.64,7.29
gpt-4,gsm,3,PositiveN,0.6000000000000001,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,5.22
gpt-3.5,gsm,3,PositiveN,0.6000000000000001,0.634,0.634,0.631,0.637,40,17.23,14.59,8.27
claude-3,gsm,3,PositiveN,0.6000000000000001,0.62,0.622,0.622,0.617,40,15.26,11.87,6.71
all,bb,3,PositiveN,0.6000000000000001,0.4588,0.4574,0.4601,0.4725,40,12.02,11.1,6.08
gpt-4,bb,3,PositiveN,0.6000000000000001,0.51,0.515,0.515,0.5,40,7.4,6.38,4.69
gpt-3.5,bb,3,PositiveN,0.6000000000000001,0.437,0.435,0.437,0.4766,40,13.54,12.42,7.71
claude-3,bb,3,PositiveN,0.6000000000000001,0.4699,0.4679,0.4719,0.4629,40,11.44,10.75,4.74
all,mathqa,3,PositiveN,0.6000000000000001,0.525,0.5269,0.5255,0.5384,40,15.69,13.58,10.25
gpt-4,mathqa,3,PositiveN,0.6000000000000001,0.6443,0.6392,0.6392,0.6856,40,9.21,8.02,11.38
gpt-3.5,mathqa,3,PositiveN,0.6000000000000001,0.4675,0.4695,0.4675,0.4959,40,16.58,14.26,9.86
claude-3,mathqa,3,PositiveN,0.6000000000000001,0.5586,0.5616,0.5606,0.5516,40,16.08,14.0,10.41
all,all,3,PositiveN,0.7000000000000001,0.5429,0.5432,0.5432,0.5542,40,14.4,12.44,9.06
gpt-4,all,3,PositiveN,0.7000000000000001,0.657,0.6553,0.6553,0.6689,40,8.14,7.0,8.13
gpt-3.5,all,3,PositiveN,0.7000000000000001,0.5135,0.5135,0.5125,0.5411,40,15.79,13.76,10.44
claude-3,all,3,PositiveN,0.7000000000000001,0.5495,0.5506,0.5516,0.5445,40,14.26,12.21,7.87
all,gsm,3,PositiveN,0.7000000000000001,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,7.83
gpt-4,gsm,3,PositiveN,0.7000000000000001,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,5.33
gpt-3.5,gsm,3,PositiveN,0.7000000000000001,0.634,0.634,0.631,0.638,40,17.23,14.59,9.06
claude-3,gsm,3,PositiveN,0.7000000000000001,0.62,0.622,0.622,0.617,40,15.26,11.87,7.1
all,bb,3,PositiveN,0.7000000000000001,0.4588,0.4574,0.4601,0.4743,40,12.02,11.1,6.73
gpt-4,bb,3,PositiveN,0.7000000000000001,0.51,0.515,0.515,0.5,40,7.4,6.38,4.7
gpt-3.5,bb,3,PositiveN,0.7000000000000001,0.437,0.435,0.437,0.4807,40,13.54,12.42,9.12
claude-3,bb,3,PositiveN,0.7000000000000001,0.4699,0.4679,0.4719,0.4629,40,11.44,10.75,4.77
all,mathqa,3,PositiveN,0.7000000000000001,0.525,0.5269,0.5255,0.5434,40,15.69,13.58,12.63
gpt-4,mathqa,3,PositiveN,0.7000000000000001,0.6443,0.6392,0.6392,0.6959,40,9.21,8.02,14.47
gpt-3.5,mathqa,3,PositiveN,0.7000000000000001,0.4675,0.4695,0.4675,0.503,40,16.58,14.26,13.16
claude-3,mathqa,3,PositiveN,0.7000000000000001,0.5586,0.5616,0.5606,0.5536,40,16.08,14.0,11.75
all,all,3,PositiveN,0.8,0.5429,0.5432,0.5432,0.5554,40,14.4,12.44,9.99
gpt-4,all,3,PositiveN,0.8,0.657,0.6553,0.6553,0.6723,40,8.14,7.0,8.58
gpt-3.5,all,3,PositiveN,0.8,0.5135,0.5135,0.5125,0.5445,40,15.79,13.76,11.86
claude-3,all,3,PositiveN,0.8,0.5495,0.5506,0.5516,0.5432,40,14.26,12.21,8.42
all,gsm,3,PositiveN,0.8,0.6442,0.6446,0.6433,0.6465,40,15.5,12.64,8.57
gpt-4,gsm,3,PositiveN,0.8,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,5.58
gpt-3.5,gsm,3,PositiveN,0.8,0.634,0.634,0.631,0.643,40,17.23,14.59,9.94
claude-3,gsm,3,PositiveN,0.8,0.62,0.622,0.622,0.616,40,15.26,11.87,7.79
all,bb,3,PositiveN,0.8,0.4588,0.4574,0.4601,0.4757,40,12.02,11.1,7.26
gpt-4,bb,3,PositiveN,0.8,0.51,0.515,0.515,0.505,40,7.4,6.38,4.77
gpt-3.5,bb,3,PositiveN,0.8,0.437,0.435,0.437,0.4858,40,13.54,12.42,10.11
claude-3,bb,3,PositiveN,0.8,0.4699,0.4679,0.4719,0.4599,40,11.44,10.75,4.94
all,mathqa,3,PositiveN,0.8,0.525,0.5269,0.5255,0.5434,40,15.69,13.58,14.16
gpt-4,mathqa,3,PositiveN,0.8,0.6443,0.6392,0.6392,0.6959,40,9.21,8.02,15.51
gpt-3.5,mathqa,3,PositiveN,0.8,0.4675,0.4695,0.4675,0.503,40,16.58,14.26,15.55
claude-3,mathqa,3,PositiveN,0.8,0.5586,0.5616,0.5606,0.5536,40,16.08,14.0,12.53
all,all,3,PositiveN,0.9,0.5429,0.5432,0.5432,0.5493,40,14.4,12.44,11.06
gpt-4,all,3,PositiveN,0.9,0.657,0.6553,0.6553,0.6689,40,8.14,7.0,8.74
gpt-3.5,all,3,PositiveN,0.9,0.5135,0.5135,0.5125,0.5357,40,15.79,13.76,13.19
claude-3,all,3,PositiveN,0.9,0.5495,0.5506,0.5516,0.5392,40,14.26,12.21,9.4
all,gsm,3,PositiveN,0.9,0.6442,0.6446,0.6433,0.6392,40,15.5,12.64,10.06
gpt-4,gsm,3,PositiveN,0.9,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,5.72
gpt-3.5,gsm,3,PositiveN,0.9,0.634,0.634,0.631,0.631,40,17.23,14.59,11.99
claude-3,gsm,3,PositiveN,0.9,0.62,0.622,0.622,0.612,40,15.26,11.87,8.98
all,bb,3,PositiveN,0.9,0.4588,0.4574,0.4601,0.4748,40,12.02,11.1,7.66
gpt-4,bb,3,PositiveN,0.9,0.51,0.515,0.515,0.5,40,7.4,6.38,4.92
gpt-3.5,bb,3,PositiveN,0.9,0.437,0.435,0.437,0.4827,40,13.54,12.42,10.73
claude-3,bb,3,PositiveN,0.9,0.4699,0.4679,0.4719,0.4619,40,11.44,10.75,5.18
all,mathqa,3,PositiveN,0.9,0.525,0.5269,0.5255,0.5333,40,15.69,13.58,15.47
gpt-4,mathqa,3,PositiveN,0.9,0.6443,0.6392,0.6392,0.6907,40,9.21,8.02,15.71
gpt-3.5,mathqa,3,PositiveN,0.9,0.4675,0.4695,0.4675,0.4919,40,16.58,14.26,16.87
claude-3,mathqa,3,PositiveN,0.9,0.5586,0.5616,0.5606,0.5435,40,16.08,14.0,14.05
all,all,3,PositiveN,1.0,0.5429,0.5432,0.5432,0.3569,40,14.4,12.44,40.0
gpt-4,all,3,PositiveN,1.0,0.657,0.6553,0.6553,0.5993,40,8.14,7.0,40.0
gpt-3.5,all,3,PositiveN,1.0,0.5135,0.5135,0.5125,0.3484,40,15.79,13.76,40.0
claude-3,all,3,PositiveN,1.0,0.5495,0.5506,0.5516,0.3177,40,14.26,12.21,40.0
all,gsm,3,PositiveN,1.0,0.6442,0.6446,0.6433,0.3462,40,15.5,12.64,40.0
gpt-4,gsm,3,PositiveN,1.0,0.8205,0.8154,0.8154,0.759,40,7.84,6.63,40.0
gpt-3.5,gsm,3,PositiveN,1.0,0.634,0.634,0.631,0.343,40,17.23,14.59,40.0
claude-3,gsm,3,PositiveN,1.0,0.62,0.622,0.622,0.269,40,15.26,11.87,40.0
all,bb,3,PositiveN,1.0,0.4588,0.4574,0.4601,0.3918,40,12.02,11.1,40.0
gpt-4,bb,3,PositiveN,1.0,0.51,0.515,0.515,0.495,40,7.4,6.38,40.0
gpt-3.5,bb,3,PositiveN,1.0,0.437,0.435,0.437,0.4014,40,13.54,12.42,40.0
claude-3,bb,3,PositiveN,1.0,0.4699,0.4679,0.4719,0.3617,40,11.44,10.75,40.0
all,mathqa,3,PositiveN,1.0,0.525,0.5269,0.5255,0.3326,40,15.69,13.58,40.0
gpt-4,mathqa,3,PositiveN,1.0,0.6443,0.6392,0.6392,0.5464,40,9.21,8.02,40.0
gpt-3.5,mathqa,3,PositiveN,1.0,0.4675,0.4695,0.4675,0.3008,40,16.58,14.26,40.0
claude-3,mathqa,3,PositiveN,1.0,0.5586,0.5616,0.5606,0.3223,40,16.08,14.0,40.0
