llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
all,mathqa,13,PositiveN,0.5,0.525,0.5269,0.5255,0.5498,40,15.69,13.58,23.18
gpt-4,mathqa,13,PositiveN,0.5,0.6443,0.6392,0.6392,0.6701,40,9.21,8.02,21.61
gpt-3.5,mathqa,13,PositiveN,0.5,0.4675,0.4695,0.4675,0.5112,40,16.58,14.26,23.44
claude-3,mathqa,13,PositiveN,0.5,0.5586,0.5616,0.5606,0.5646,40,16.08,14.0,23.23
all,all,14,PositiveN,0.5,0.5429,0.5432,0.5432,0.5594,40,14.4,12.44,21.9
gpt-4,all,14,PositiveN,0.5,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,18.59
gpt-3.5,all,14,PositiveN,0.5,0.5135,0.5135,0.5125,0.5455,40,15.79,13.76,23.24
claude-3,all,14,PositiveN,0.5,0.5495,0.5506,0.5516,0.5522,40,14.26,12.21,21.23
all,gsm,14,PositiveN,0.5,0.6442,0.6446,0.6433,0.6506,40,15.5,12.64,21.78
gpt-4,gsm,14,PositiveN,0.5,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,16.77
gpt-3.5,gsm,14,PositiveN,0.5,0.634,0.634,0.631,0.647,40,17.23,14.59,23.31
claude-3,gsm,14,PositiveN,0.5,0.62,0.622,0.622,0.622,40,15.26,11.87,21.23
all,bb,14,PositiveN,0.5,0.4588,0.4574,0.4601,0.4762,40,12.02,11.1,19.56
gpt-4,bb,14,PositiveN,0.5,0.51,0.515,0.515,0.515,40,7.4,6.38,16.45
gpt-3.5,bb,14,PositiveN,0.5,0.437,0.435,0.437,0.4756,40,13.54,12.42,21.79
claude-3,bb,14,PositiveN,0.5,0.4699,0.4679,0.4719,0.4689,40,11.44,10.75,17.99
all,mathqa,14,PositiveN,0.5,0.525,0.5269,0.5255,0.5508,40,15.69,13.58,24.38
gpt-4,mathqa,14,PositiveN,0.5,0.6443,0.6392,0.6392,0.6701,40,9.21,8.02,22.62
gpt-3.5,mathqa,14,PositiveN,0.5,0.4675,0.4695,0.4675,0.5122,40,16.58,14.26,24.62
claude-3,mathqa,14,PositiveN,0.5,0.5586,0.5616,0.5606,0.5656,40,16.08,14.0,24.48
