llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
claude-3,gsm,8,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,23.22
all,bb,8,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,22.44
gpt-4,bb,8,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,13.9
gpt-3.5,bb,8,ConsistencyN,0.5,0.437,0.435,0.437,0.438,40,13.54,12.42,25.21
claude-3,bb,8,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4689,40,11.44,10.75,21.42
all,mathqa,8,ConsistencyN,0.5,0.525,0.5269,0.5255,0.5246,40,15.69,13.58,27.04
gpt-4,mathqa,8,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,21.2
gpt-3.5,mathqa,8,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4665,40,16.58,14.26,27.66
claude-3,mathqa,8,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,27.56
all,all,9,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5429,40,14.4,12.44,25.83
gpt-4,all,9,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,17.45
gpt-3.5,all,9,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,27.7
claude-3,all,9,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,25.63
all,gsm,9,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,24.97
gpt-4,gsm,9,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,14.3
gpt-3.5,gsm,9,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,27.17
claude-3,gsm,9,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,24.86
all,bb,9,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,24.03
gpt-4,bb,9,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,15.62
gpt-3.5,bb,9,ConsistencyN,0.5,0.437,0.435,0.437,0.437,40,13.54,12.42,26.75
claude-3,bb,9,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,23.04
all,mathqa,9,ConsistencyN,0.5,0.525,0.5269,0.5255,0.525,40,15.69,13.58,28.51
gpt-4,mathqa,9,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,22.5
gpt-3.5,mathqa,9,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4675,40,16.58,14.26,29.19
claude-3,mathqa,9,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,29.0
all,all,10,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5429,40,14.4,12.44,27.2
gpt-4,all,10,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,18.65
gpt-3.5,all,10,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,29.1
claude-3,all,10,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,27.01
all,gsm,10,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,26.25
gpt-4,gsm,10,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,15.38
gpt-3.5,gsm,10,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,28.34
claude-3,gsm,10,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,26.28
all,bb,10,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,25.54
gpt-4,bb,10,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,17.2
gpt-3.5,bb,10,ConsistencyN,0.5,0.437,0.435,0.437,0.437,40,13.54,12.42,28.24
claude-3,bb,10,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,24.55
all,mathqa,10,ConsistencyN,0.5,0.525,0.5269,0.5255,0.525,40,15.69,13.58,29.84
gpt-4,mathqa,10,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,23.41
gpt-3.5,mathqa,10,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4675,40,16.58,14.26,30.72
claude-3,mathqa,10,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,30.22
all,all,11,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5429,40,14.4,12.44,28.27
gpt-4,all,11,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,19.73
gpt-3.5,all,11,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,30.06
claude-3,all,11,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,28.18
all,gsm,11,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,27.26
gpt-4,gsm,11,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,16.48
gpt-3.5,gsm,11,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,29.19
claude-3,gsm,11,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,27.42
all,bb,11,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,26.79
gpt-4,bb,11,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,18.39
gpt-3.5,bb,11,ConsistencyN,0.5,0.437,0.435,0.437,0.437,40,13.54,12.42,29.38
claude-3,bb,11,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,25.92
all,mathqa,11,ConsistencyN,0.5,0.525,0.5269,0.5255,0.525,40,15.69,13.58,30.77
gpt-4,mathqa,11,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,24.38
gpt-3.5,mathqa,11,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4675,40,16.58,14.26,31.61
claude-3,mathqa,11,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,31.19
all,all,12,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5429,40,14.4,12.44,29.28
gpt-4,all,12,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,20.67
gpt-3.5,all,12,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,31.05
claude-3,all,12,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,29.22
all,gsm,12,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,28.2
gpt-4,gsm,12,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,17.51
gpt-3.5,gsm,12,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,30.12
claude-3,gsm,12,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,28.36
all,bb,12,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,27.94
gpt-4,bb,12,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,19.27
gpt-3.5,bb,12,ConsistencyN,0.5,0.437,0.435,0.437,0.437,40,13.54,12.42,30.43
claude-3,bb,12,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,27.23
all,mathqa,12,ConsistencyN,0.5,0.525,0.5269,0.5255,0.525,40,15.69,13.58,31.72
gpt-4,mathqa,12,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,25.29
gpt-3.5,mathqa,12,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4675,40,16.58,14.26,32.63
claude-3,mathqa,12,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,32.07
all,all,13,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5429,40,14.4,12.44,30.2
gpt-4,all,13,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,21.66
gpt-3.5,all,13,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,31.87
claude-3,all,13,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,30.21
all,gsm,13,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,29.1
gpt-4,gsm,13,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,18.4
gpt-3.5,gsm,13,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,30.83
claude-3,gsm,13,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,29.46
all,bb,13,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,29.02
gpt-4,bb,13,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,20.39
gpt-3.5,bb,13,ConsistencyN,0.5,0.437,0.435,0.437,0.437,40,13.54,12.42,31.39
claude-3,bb,13,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,28.4
all,mathqa,13,ConsistencyN,0.5,0.525,0.5269,0.5255,0.525,40,15.69,13.58,32.49
gpt-4,mathqa,13,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,26.24
gpt-3.5,mathqa,13,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4675,40,16.58,14.26,33.42
claude-3,mathqa,13,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,32.78
all,all,14,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5429,40,14.4,12.44,30.98
gpt-4,all,14,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,22.67
gpt-3.5,all,14,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,32.56
claude-3,all,14,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,31.05
all,gsm,14,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,29.85
gpt-4,gsm,14,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,19.37
gpt-3.5,gsm,14,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,31.45
claude-3,gsm,14,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,30.28
all,bb,14,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4588,40,12.02,11.1,29.96
